,Name,Brand,Colour,url,clean_text,tokenized,stopwords_removed,combined_postag_wnet,lemmatize_word_w_pos,lemmatize_text
921,ASOS DESIGN spray on jeans with power stretch in acid wash blue with knee rips,ASOS DESIGN,Mid Wash Blue,images.asos-media.com/products/asos-design-spray-on-jeans-with-power-stretch-in-acid-wash-blue-with-knee-rips/201906739-1-midwashblue,asos design spray on jeans with power stretch in acid wash blue with knee rips,"['asos', 'design', 'spray', 'on', 'jeans', 'with', 'power', 'stretch', 'in', 'acid', 'wash', 'blue', 'with', 'knee', 'rips']","['asos', 'design', 'spray', 'jeans', 'power', 'stretch', 'acid', 'wash', 'blue', 'knee', 'rips']","[('asos', 'n'), ('design', 'n'), ('spray', 'n'), ('jeans', 'n'), ('power', 'n'), ('stretch', 'v'), ('acid', 'n'), ('wash', 'v'), ('blue', 'a'), ('knee', 'n'), ('rips', 'n')]","['asos', 'design', 'spray', 'jean', 'power', 'stretch', 'acid', 'wash', 'blue', 'knee', 'rip']",asos design spray jean power stretch acid wash blue knee rip
922,New Look short sleeve muscle fit jersey shirt in light blue,New Look,Light Blue,images.asos-media.com/products/new-look-short-sleeve-muscle-fit-jersey-shirt-in-light-blue/203324854-1-lightblue,new look short sleeve muscle fit jersey shirt in light blue,"['new', 'look', 'short', 'sleeve', 'muscle', 'fit', 'jersey', 'shirt', 'in', 'light', 'blue']","['new', 'look', 'short', 'sleeve', 'muscle', 'fit', 'jersey', 'shirt', 'light', 'blue']","[('new', 'a'), ('look', 'n'), ('short', 'a'), ('sleeve', 'n'), ('muscle', 'n'), ('fit', 'a'), ('jersey', 'n'), ('shirt', 'n'), ('light', 'a'), ('blue', 'a')]","['new', 'look', 'short', 'sleeve', 'muscle', 'fit', 'jersey', 'shirt', 'light', 'blue']",new look short sleeve muscle fit jersey shirt light blue
923,Nike french terry shorts in navy ombre,Nike,NAVY,images.asos-media.com/products/nike-french-terry-shorts-in-navy-ombre/202294303-1-navy,nike french terry shorts in navy ombre,"['nike', 'french', 'terry', 'shorts', 'in', 'navy', 'ombre']","['nike', 'french', 'terry', 'shorts', 'navy', 'ombre']","[('nike', 'n'), ('french', 'n'), ('terry', 'n'), ('shorts', 'n'), ('navy', 'n'), ('ombre', 'n')]","['nike', 'french', 'terry', 'short', 'navy', 'ombre']",nike french terry short navy ombre
924,adidas Originals Adventure mountain t-shirt in black,adidas Originals,BLACK,images.asos-media.com/products/adidas-originals-adventure-mountain-t-shirt-in-black/202091136-1-black,adidas originals adventure mountain tshirt in black,"['adidas', 'originals', 'adventure', 'mountain', 'tshirt', 'in', 'black']","['adidas', 'originals', 'adventure', 'mountain', 'tshirt', 'black']","[('adidas', 'n'), ('originals', 'n'), ('adventure', 'n'), ('mountain', 'n'), ('tshirt', 'n'), ('black', 'a')]","['adidas', 'original', 'adventure', 'mountain', 'tshirt', 'black']",adidas original adventure mountain tshirt black
925,Billabong Shine t-shirt in black,Billabong,Black,images.asos-media.com/products/billabong-shine-t-shirt-in-black/203555488-1-black,billabong shine tshirt in black,"['billabong', 'shine', 'tshirt', 'in', 'black']","['billabong', 'shine', 'tshirt', 'black']","[('billabong', 'n'), ('shine', 'n'), ('tshirt', 'n'), ('black', 'a')]","['billabong', 'shine', 'tshirt', 'black']",billabong shine tshirt black
926,ASOS DESIGN relaxed heavyweight t-shirt in red,ASOS DESIGN,URBAN RED,images.asos-media.com/products/asos-design-relaxed-heavyweight-t-shirt-in-red/203078743-1-urbanred,asos design relaxed heavyweight tshirt in red,"['asos', 'design', 'relaxed', 'heavyweight', 'tshirt', 'in', 'red']","['asos', 'design', 'relaxed', 'heavyweight', 'tshirt', 'red']","[('asos', 'n'), ('design', 'n'), ('relaxed', 'n'), ('heavyweight', 'n'), ('tshirt', 'n'), ('red', 'a')]","['asos', 'design', 'relaxed', 'heavyweight', 'tshirt', 'red']",asos design relaxed heavyweight tshirt red
927,ASOS DESIGN oversized shorts in pastel green,ASOS DESIGN,MISTY BLUE,images.asos-media.com/products/asos-design-oversized-shorts-in-pastel-green/202540175-1-mistyblue,asos design oversized shorts in pastel green,"['asos', 'design', 'oversized', 'shorts', 'in', 'pastel', 'green']","['asos', 'design', 'oversized', 'shorts', 'pastel', 'green']","[('asos', 'n'), ('design', 'n'), ('oversized', 'n'), ('shorts', 'n'), ('pastel', 'n'), ('green', 'n')]","['asos', 'design', 'oversized', 'short', 'pastel', 'green']",asos design oversized short pastel green
928,ASOS DESIGN wedding smart skinny trousers with micro texture in navy,ASOS DESIGN,NAVY,images.asos-media.com/products/asos-design-wedding-smart-skinny-trousers-with-micro-texture-in-navy/201424643-1-navy,asos design wedding smart skinny trousers with micro texture in navy,"['asos', 'design', 'wedding', 'smart', 'skinny', 'trousers', 'with', 'micro', 'texture', 'in', 'navy']","['asos', 'design', 'wedding', 'smart', 'skinny', 'trousers', 'micro', 'texture', 'navy']","[('asos', 'n'), ('design', 'n'), ('wedding', 'n'), ('smart', 'n'), ('skinny', 'n'), ('trousers', 'n'), ('micro', 'n'), ('texture', 'n'), ('navy', 'n')]","['asos', 'design', 'wedding', 'smart', 'skinny', 'trouser', 'micro', 'texture', 'navy']",asos design wedding smart skinny trouser micro texture navy
929,ASOS DESIGN swim shorts in super short length with contrast pocket in coral,ASOS DESIGN,Cadmium Orange,images.asos-media.com/products/asos-design-swim-shorts-in-super-short-length-with-contrast-pocket-in-coral/201535115-1-cadmiumorange,asos design swim shorts in super short length with contrast pocket in coral,"['asos', 'design', 'swim', 'shorts', 'in', 'super', 'short', 'length', 'with', 'contrast', 'pocket', 'in', 'coral']","['asos', 'design', 'swim', 'shorts', 'super', 'short', 'length', 'contrast', 'pocket', 'coral']","[('asos', 'n'), ('design', 'n'), ('swim', 'n'), ('shorts', 'n'), ('super', 'a'), ('short', 'a'), ('length', 'n'), ('contrast', 'n'), ('pocket', 'n'), ('coral', 'n')]","['asos', 'design', 'swim', 'short', 'super', 'short', 'length', 'contrast', 'pocket', 'coral']",asos design swim short super short length contrast pocket coral
930,ASOS DESIGN 90's cotton bucket hat with 8 ball embroidery in black,ASOS DESIGN,BLACK,images.asos-media.com/products/asos-design-90s-cotton-bucket-hat-with-8-ball-embroidery-in-black/201347621-1-black,asos design 90s cotton bucket hat with 8 ball embroidery in black,"['asos', 'design', '90s', 'cotton', 'bucket', 'hat', 'with', '8', 'ball', 'embroidery', 'in', 'black']","['asos', 'design', '90s', 'cotton', 'bucket', 'hat', '8', 'ball', 'embroidery', 'black']","[('asos', 'n'), ('design', 'n'), ('90s', 'n'), ('cotton', 'n'), ('bucket', 'n'), ('hat', 'n'), ('8', 'n'), ('ball', 'n'), ('embroidery', 'n'), ('black', 'a')]","['asos', 'design', '90', 'cotton', 'bucket', 'hat', '8', 'ball', 'embroidery', 'black']",asos design 90 cotton bucket hat 8 ball embroidery black
